visuals\learn\ConditionalProbabilityPrimitive.tsx || 4:18 || @typescript-eslint/no-unused-vars || 'AnimatePresence' is defined but never used.
visuals\learn\ConditionalProbabilityPrimitive.tsx || 159:21 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\ConditionalProbabilityPrimitive.tsx || 159:40 || react/no-unescaped-entities || `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.
visuals\learn\ConditionalProbabilityPrimitive.tsx || 159:200 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\ConfusionMatrixPrimitive.tsx || 45:21 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\ConfusionMatrixPrimitive.tsx || 45:117 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\ConfusionMatrixPrimitive.tsx || 105:52 || react/jsx-no-comment-textnodes || Comments inside children section of tag should be placed inside braces
visuals\learn\ConfusionMatrixPrimitive.tsx || 105:274 || react/no-unescaped-entities || `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.
visuals\learn\ContextManagersPrimitive.tsx || 23:52 || @typescript-eslint/no-unused-vars || 'config' is defined but never used.
visuals\learn\DataValidationPrimitive.tsx || 87:48 || @typescript-eslint/no-unused-vars || 'errors' is defined but never used.
visuals\learn\DecisionTreeClassificationPrimitive.tsx || 80:21 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
visuals\learn\DecisionTreeClassificationPrimitive.tsx || 121:34 || react-hooks/exhaustive-deps || React Hook useEffect has a missing dependency: 'draw'. Either include it or remove the dep
visuals\learn\DecisionTreeClassificationPrimitive.tsx || 181:21 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\DecisionTreeClassificationPrimitive.tsx || 181:113 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\DecisionTreeClassificationPrimitive.tsx || 236:52 || react/jsx-no-comment-textnodes || Comments inside children section of tag should be placed inside braces
visuals\learn\DecisionTreeClassificationPrimitive.tsx || 236:268 || react/no-unescaped-entities || `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.
visuals\learn\DecisionTreePrimitive.tsx || 49:21 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\DecisionTreePrimitive.tsx || 49:31 || react/no-unescaped-entities || `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.
visuals\learn\DecisionTreePrimitive.tsx || 49:116 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\DecisionTreePrimitive.tsx || 120:157 || react/no-unescaped-entities || `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.
visuals\learn\DecoratorsPrimitive.tsx || 19:47 || @typescript-eslint/no-unused-vars || 'config' is defined but never used.
visuals\learn\DescriptiveStatisticsPrimitive.tsx || 4:10 || @typescript-eslint/no-unused-vars || 'motion' is defined but never used.
visuals\learn\DescriptiveStatisticsPrimitive.tsx || 4:18 || @typescript-eslint/no-unused-vars || 'AnimatePresence' is defined but never used.
visuals\learn\DescriptiveStatisticsPrimitive.tsx || 93:15 || @typescript-eslint/no-unused-vars || 'densities' is assigned a value but never used.
visuals\learn\DescriptiveStatisticsPrimitive.tsx || 132:17 || @typescript-eslint/no-unused-expressions || Expected an assignment or function call and instead saw an expression.
visuals\learn\DispersionPrimitive.tsx || 3:59 || @typescript-eslint/no-unused-vars || 'useMemo' is defined but never used.
visuals\learn\DispersionPrimitive.tsx || 4:10 || @typescript-eslint/no-unused-vars || 'motion' is defined but never used.
visuals\learn\DispersionPrimitive.tsx || 4:18 || @typescript-eslint/no-unused-vars || 'AnimatePresence' is defined but never used.
visuals\learn\DispersionPrimitive.tsx || 8:7 || @typescript-eslint/no-unused-vars || 'MEAN' is assigned a value but never used.
visuals\learn\DispersionPrimitive.tsx || 76:21 || @typescript-eslint/no-unused-expressions || Expected an assignment or function call and instead saw an expression.
visuals\learn\DispersionPrimitive.tsx || 110:13 || @typescript-eslint/no-unused-expressions || Expected an assignment or function call and instead saw an expression.
visuals\learn\DistributionEvolutionPrimitive.tsx || 299:5 || @typescript-eslint/no-unused-vars || 'mode' is defined but never used.
visuals\learn\DomainFeaturesPrimitive.tsx || 52:21 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
